experiment,macro_f1_mean,macro_f1_std,normal_f1_mean,side_I_f1_mean,side_II_f1_mean,n_features
XGB_top150,0.775656520135436,0.10967076434833921,0.9742278576646054,0.5456190476190477,0.807122655122655,150.0
XGB_top125,0.7710190444301361,0.11870585596145393,0.9733947956280707,0.5280952380952381,0.8115670995670996,125.0
XGB_top75,0.7708578235624647,0.12921929715547292,0.9741636582775817,0.5187619047619048,0.8196479076479076,75.0
XGB_top100,0.7696693278426591,0.10691732641873052,0.9724885030084967,0.5162857142857142,0.8202337662337662,100.0
XGB_child3,0.7683696460664798,0.11609734664168458,0.9746673797578812,0.4941904761904762,0.8362510822510822,847.0
XGB_vibration_only,0.7662408975984394,0.12256139746889254,0.9767457808184061,0.4917142857142857,0.8302626262626263,614.0
XGB_vibration_speed,0.7583334901910319,0.11807626778561935,0.9759124474850728,0.481047619047619,0.8180404040404041,617.0
XGB_all_baseline,0.7517028973768153,0.1164576186524145,0.9726411596629135,0.46542857142857147,0.817038961038961,847.0
XGB_lr005,0.748347972872132,0.12460734854694425,0.9721636877361648,0.4576190476190476,0.8152611832611832,847.0
XGB_depth3,0.7478638157661925,0.11058824027941955,0.9729825006896307,0.4480952380952381,0.8225137085137085,847.0
