experiment,filename,true_label,times_tested,times_correct,accuracy
XGB_all_baseline,Train1.csv,Normal,5,5,1.0
XGB_all_baseline,Train10.csv,Normal,5,5,1.0
XGB_all_baseline,Train100.csv,Side I,5,0,0.0
XGB_all_baseline,Train101.csv,Normal,5,5,1.0
XGB_all_baseline,Train102.csv,Normal,5,5,1.0
XGB_all_baseline,Train103.csv,Side II,5,4,0.8
XGB_all_baseline,Train104.csv,Side II,5,5,1.0
XGB_all_baseline,Train105.csv,Normal,5,5,1.0
XGB_all_baseline,Train106.csv,Side I,5,1,0.2
XGB_all_baseline,Train107.csv,Normal,5,5,1.0
XGB_all_baseline,Train108.csv,Normal,5,5,1.0
XGB_all_baseline,Train109.csv,Normal,5,5,1.0
XGB_all_baseline,Train11.csv,Normal,5,5,1.0
XGB_all_baseline,Train110.csv,Normal,5,5,1.0
XGB_all_baseline,Train111.csv,Side II,5,5,1.0
XGB_all_baseline,Train112.csv,Normal,5,5,1.0
XGB_all_baseline,Train113.csv,Normal,5,5,1.0
XGB_all_baseline,Train114.csv,Normal,5,5,1.0
XGB_all_baseline,Train115.csv,Normal,5,5,1.0
XGB_all_baseline,Train116.csv,Normal,5,5,1.0
XGB_all_baseline,Train117.csv,Normal,5,5,1.0
XGB_all_baseline,Train118.csv,Normal,5,5,1.0
XGB_all_baseline,Train119.csv,Normal,5,5,1.0
XGB_all_baseline,Train12.csv,Side II,5,5,1.0
XGB_all_baseline,Train120.csv,Normal,5,5,1.0
XGB_all_baseline,Train121.csv,Side I,5,0,0.0
XGB_all_baseline,Train122.csv,Normal,5,5,1.0
XGB_all_baseline,Train123.csv,Normal,5,2,0.4
XGB_all_baseline,Train124.csv,Normal,5,5,1.0
XGB_all_baseline,Train125.csv,Normal,5,5,1.0
XGB_all_baseline,Train126.csv,Normal,5,4,0.8
XGB_all_baseline,Train127.csv,Side II,5,5,1.0
XGB_all_baseline,Train128.csv,Normal,5,5,1.0
XGB_all_baseline,Train129.csv,Normal,5,5,1.0
XGB_all_baseline,Train13.csv,Normal,5,5,1.0
XGB_all_baseline,Train130.csv,Normal,5,5,1.0
XGB_all_baseline,Train131.csv,Normal,5,5,1.0
XGB_all_baseline,Train132.csv,Normal,5,5,1.0
XGB_all_baseline,Train133.csv,Normal,5,5,1.0
XGB_all_baseline,Train134.csv,Normal,5,5,1.0
XGB_all_baseline,Train135.csv,Normal,5,5,1.0
XGB_all_baseline,Train136.csv,Normal,5,5,1.0
XGB_all_baseline,Train137.csv,Side I,5,5,1.0
XGB_all_baseline,Train138.csv,Normal,5,5,1.0
XGB_all_baseline,Train139.csv,Normal,5,5,1.0
XGB_all_baseline,Train14.csv,Normal,5,5,1.0
XGB_all_baseline,Train140.csv,Normal,5,5,1.0
XGB_all_baseline,Train141.csv,Normal,5,5,1.0
XGB_all_baseline,Train142.csv,Normal,5,5,1.0
XGB_all_baseline,Train143.csv,Normal,5,5,1.0
XGB_all_baseline,Train144.csv,Normal,5,5,1.0
XGB_all_baseline,Train145.csv,Normal,5,5,1.0
XGB_all_baseline,Train146.csv,Normal,5,5,1.0
XGB_all_baseline,Train147.csv,Normal,5,5,1.0
XGB_all_baseline,Train148.csv,Normal,5,5,1.0
XGB_all_baseline,Train149.csv,Normal,5,5,1.0
XGB_all_baseline,Train15.csv,Normal,5,5,1.0
XGB_all_baseline,Train150.csv,Side I,5,2,0.4
XGB_all_baseline,Train151.csv,Normal,5,5,1.0
XGB_all_baseline,Train152.csv,Normal,5,5,1.0
XGB_all_baseline,Train153.csv,Normal,5,5,1.0
XGB_all_baseline,Train154.csv,Normal,5,5,1.0
XGB_all_baseline,Train155.csv,Normal,5,5,1.0
XGB_all_baseline,Train156.csv,Normal,5,5,1.0
XGB_all_baseline,Train157.csv,Normal,5,5,1.0
XGB_all_baseline,Train158.csv,Normal,5,5,1.0
XGB_all_baseline,Train159.csv,Normal,5,5,1.0
XGB_all_baseline,Train16.csv,Normal,5,5,1.0
XGB_all_baseline,Train160.csv,Normal,5,5,1.0
XGB_all_baseline,Train161.csv,Normal,5,5,1.0
XGB_all_baseline,Train162.csv,Normal,5,5,1.0
XGB_all_baseline,Train163.csv,Side I,5,5,1.0
