experiment,fold,macro_f1,normal_f1,side_I_f1,side_II_f1,n_features
XGB_all_baseline,1,0.5347222222222222,0.9375,0.0,0.6666666666666666,847
XGB_all_baseline,2,0.7063573883161512,0.9690721649484536,0.4,0.75,847
XGB_all_baseline,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091,847
XGB_all_baseline,4,0.6563573883161512,0.9690721649484536,0.0,1.0,847
XGB_all_baseline,5,0.7558707643814028,0.9787234042553191,0.4,0.8888888888888888,847
XGB_all_baseline,6,0.6435374149659864,0.9591836734693877,0.4,0.5714285714285714,847
XGB_all_baseline,7,0.9298245614035089,0.9894736842105263,0.8,1.0,847
XGB_all_baseline,8,0.6747044917257683,0.9574468085106383,0.4,0.6666666666666666,847
XGB_all_baseline,9,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,847
XGB_all_baseline,10,0.7552042160737814,0.9565217391304348,0.4,0.9090909090909091,847
XGB_all_baseline,11,0.6178187403993856,0.967741935483871,0.2857142857142857,0.6,847
XGB_all_baseline,12,0.8263888888888888,0.9791666666666666,0.5,1.0,847
XGB_all_baseline,13,0.5930555555555556,0.9791666666666666,0.0,0.8,847
XGB_all_baseline,14,0.9298245614035089,0.9894736842105263,0.8,1.0,847
XGB_all_baseline,15,0.7361111111111112,0.9583333333333334,0.5,0.75,847
XGB_all_baseline,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888,847
XGB_all_baseline,17,0.8893518518518518,0.9791666666666666,0.8,0.8888888888888888,847
XGB_all_baseline,18,0.7018445322793149,0.9782608695652174,0.4,0.7272727272727273,847
XGB_all_baseline,19,0.7430555555555555,0.9791666666666666,0.5,0.75,847
XGB_all_baseline,20,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,847
XGB_all_baseline,21,0.5540621266427718,0.967741935483871,0.25,0.4444444444444444,847
XGB_all_baseline,22,0.7555125725338492,0.9574468085106383,0.4,0.9090909090909091,847
XGB_all_baseline,23,0.9097222222222222,0.9791666666666666,1.0,0.75,847
XGB_all_baseline,24,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,847
XGB_all_baseline,25,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,847
XGB_vibration_only,1,0.5347222222222222,0.9375,0.0,0.6666666666666666,614
XGB_vibration_only,2,0.6875,0.9791666666666666,0.3333333333333333,0.75,614
XGB_vibration_only,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091,614
XGB_vibration_only,4,0.6563573883161512,0.9690721649484536,0.0,1.0,614
XGB_vibration_only,5,0.8482676224611708,0.989247311827957,0.6666666666666666,0.8888888888888888,614
XGB_vibration_only,6,0.7063573883161512,0.9690721649484536,0.4,0.75,614
XGB_vibration_only,7,0.9153439153439153,1.0,0.8571428571428571,0.8888888888888888,614
XGB_vibration_only,8,0.6747044917257683,0.9574468085106383,0.4,0.6666666666666666,614
XGB_vibration_only,9,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,614
XGB_vibration_only,10,0.7892473118279569,0.967741935483871,0.4,1.0,614
XGB_vibration_only,11,0.6178187403993856,0.967741935483871,0.2857142857142857,0.6,614
XGB_vibration_only,12,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888,614
XGB_vibration_only,13,0.6328548644338118,0.9894736842105263,0.0,0.9090909090909091,614
XGB_vibration_only,14,1.0,1.0,1.0,1.0,614
XGB_vibration_only,15,0.7361111111111112,0.9583333333333334,0.5,0.75,614
XGB_vibration_only,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888,614
XGB_vibration_only,17,0.8483430799220272,0.9894736842105263,0.6666666666666666,0.8888888888888888,614
XGB_vibration_only,18,0.7018445322793149,0.9782608695652174,0.4,0.7272727272727273,614
XGB_vibration_only,19,0.7430555555555555,0.9791666666666666,0.5,0.75,614
XGB_vibration_only,20,0.8816425120772946,0.9782608695652174,0.6666666666666666,1.0,614
XGB_vibration_only,21,0.5540621266427718,0.967741935483871,0.25,0.4444444444444444,614
XGB_vibration_only,22,0.818840579710145,0.9565217391304348,0.6666666666666666,0.8333333333333334,614
XGB_vibration_only,23,0.9594541910331383,0.9894736842105263,1.0,0.8888888888888888,614
XGB_vibration_only,24,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,614
XGB_vibration_only,25,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,614
XGB_vibration_speed,1,0.5347222222222222,0.9375,0.0,0.6666666666666666,617
XGB_vibration_speed,2,0.6875,0.9791666666666666,0.3333333333333333,0.75,617
XGB_vibration_speed,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091,617
XGB_vibration_speed,4,0.6563573883161512,0.9690721649484536,0.0,1.0,617
XGB_vibration_speed,5,0.8482676224611708,0.989247311827957,0.6666666666666666,0.8888888888888888,617
XGB_vibration_speed,6,0.7063573883161512,0.9690721649484536,0.4,0.75,617
XGB_vibration_speed,7,0.9153439153439153,1.0,0.8571428571428571,0.8888888888888888,617
XGB_vibration_speed,8,0.5969267139479906,0.9574468085106383,0.3333333333333333,0.5,617
XGB_vibration_speed,9,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,617
XGB_vibration_speed,10,0.7892473118279569,0.967741935483871,0.4,1.0,617
XGB_vibration_speed,11,0.6178187403993856,0.967741935483871,0.2857142857142857,0.6,617
XGB_vibration_speed,12,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888,617
XGB_vibration_speed,13,0.6328548644338118,0.9894736842105263,0.0,0.9090909090909091,617
XGB_vibration_speed,14,0.9298245614035089,0.9894736842105263,0.8,1.0,617
XGB_vibration_speed,15,0.7361111111111112,0.9583333333333334,0.5,0.75,617
XGB_vibration_speed,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888,617
XGB_vibration_speed,17,0.8483430799220272,0.9894736842105263,0.6666666666666666,0.8888888888888888,617
