feature,importance
shock_sideII_power_per_speed_sq,0.028722795
vib_sideII_power_750_1000_std,0.025094163
vib_sideI_power_250_500_mean,0.022124201
vib_sideI_power_750_1000_max,0.016914919
vib_std_mean_I_minus_II,0.01565042
vib_sideII_power_250_500_mean,0.01564725
vib_inv_std_max_car_diff_min,0.014697562
vib_power_0_250_mean_I_minus_II,0.014632182
vib_total_power_max_I_minus_II,0.013352741
shock_power_750_1000_mean_I_div_II,0.01261041
vib_car8_total_power_max_I_minus_II,0.011253664
vib_sideII_relative_power_4500_5000_max,0.011128273
vib_total_power_mean_I_minus_II,0.011065282
vib_inv_power_0_250_mean_car_diff_std,0.010962597
vib_sideII_power_0_250_std,0.010253767
speed_transition_count,0.010085021
vib_inv_total_power_max_car_diff_median,0.010078548
vib_sideI_power_750_1000_std,0.009581384
shock_power_750_1000_mean_asymmetry_index,0.009188728
shock_power_750_1000_mean_I_minus_II,0.008681445
shock_rms_max_I_minus_II,0.008527846
vib_sideII_std_max,0.00826886
vib_car4_rms_mean_I_div_II,0.008203411
vib_inv_total_power_max_car_diff_min,0.008114009
vib_car2_sideI_spectral_centroid_mean,0.007952211
vib_sideII_power_750_1000_max,0.007776077
shock_sideI_power_4000_4500_std,0.007716892
vib_sideI_std_max,0.007570463
vib_total_power_max_asymmetry_index,0.0075484733
vib_inv_total_power_max_car_diff_std,0.0074479585
vib_sideII_rms_max,0.007427256
vib_car8_sideII_power_750_1000_mean,0.007324166
shock_std_max_I_div_II,0.0073187817
vib_car1_sideII_spectral_centroid_mean,0.007299261
vib_total_power_mean_I_div_II,0.007066062
vib_sideII_total_power_mean,0.006947882
vib_sideI_dominant_frequency_mean,0.0066592265
vib_inv_power_0_250_max_car_diff_std,0.006596165
vib_car3_sideII_power_250_500_mean,0.006594538
vib_car8_total_power_mean_I_minus_II,0.0063698213
shock_sideII_power_2000_2500_max,0.006358712
vib_sideI_rms_max,0.006080534
vib_car8_rms_max_I_minus_II,0.0060790307
vib_sideI_power_4500_5000_mean,0.0059397537
vib_inv_spectral_centroid_mean_car_diff_min,0.0055753607
vib_total_power_mean_asymmetry_index,0.005208562
shock_sideII_power_3500_4000_mean,0.005174792
vib_car8_sideI_power_750_1000_max,0.0051297564
vib_car5_sideI_spectral_centroid_max,0.005071383
vib_power_750_1000_mean_I_minus_II,0.004973482
shock_sideII_power_750_1000_std,0.0049215187
vib_sideII_total_power_max,0.0047781807
shock_sideII_peak_to_peak_max,0.004762617
vib_sideI_relative_power_500_750_mean,0.0046797595
vib_sideI_total_power_std,0.004629437
vib_sideI_relative_power_2000_2500_std,0.00460004
vib_inv_rms_mean_car_asym_max,0.0045571146
vib_inv_power_0_250_mean_car_diff_min,0.0044621346
vib_car7_sideII_power_750_1000_mean,0.0044053686
vib_inv_power_0_250_max_car_diff_max,0.0043613254
shock_sideII_power_500_750_max,0.0042775986
vib_car8_sideI_power_750_1000_mean,0.004273273
vib_inv_power_0_250_max_bottom2_cars_ratio_mean,0.004253942
shock_sideI_power_1000_1500_max,0.004176738
vib_car2_sideII_rms_max,0.004020037
shock_sideI_power_3000_3500_std,0.0039859167
vib_sideII_power_2500_3000_max,0.0039450577
vib_sideII_power_3500_4000_max,0.0039444775
vib_sideII_power_3500_4000_std,0.0039170315
shock_rms_max_I_div_II,0.0038862175
shock_sideII_relative_power_500_750_max,0.0037491973
shock_sideII_crest_factor_std,0.003654121
vib_sideI_total_power_mean,0.0035602571
vib_sideI_power_750_1000_mean,0.003555378
shock_spectral_centroid_mean_I_minus_II,0.003493348
vib_sideII_power_4500_5000_max,0.0034100746
vib_inv_rms_max_car_diff_std,0.0033866516
vib_sideII_total_power_std,0.0032821484
shock_sideII_power_1500_2000_std,0.0032414251
vib_car3_sideII_power_250_500_max,0.0031018634
shock_sideI_power_3000_3500_mean,0.0030987042
vib_car1_sideII_power_0_250_mean,0.0030935188
vib_car8_sideII_std_mean,0.0030668671
vib_car7_power_0_250_mean_I_div_II,0.0030609015
