experiment,filename,true_label,times_tested,times_correct,accuracy
Exp1_XGB_baseline,Train1.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train10.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train100.csv,Side I,3,0,0.0
Exp1_XGB_baseline,Train101.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train102.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train103.csv,Side II,3,1,0.3333333333333333
Exp1_XGB_baseline,Train104.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train105.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train106.csv,Side I,3,0,0.0
Exp1_XGB_baseline,Train107.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train108.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train109.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train11.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train110.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train111.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train112.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train113.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train114.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train115.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train116.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train117.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train118.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train119.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train12.csv,Side II,3,2,0.6666666666666666
Exp1_XGB_baseline,Train120.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train121.csv,Side I,3,0,0.0
Exp1_XGB_baseline,Train122.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train123.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train124.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train125.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train126.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train127.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train128.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train129.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train13.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train130.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train131.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train132.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train133.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train134.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train135.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train136.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train137.csv,Side I,3,1,0.3333333333333333
Exp1_XGB_baseline,Train138.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train139.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train14.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train140.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train141.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train142.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train143.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train144.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train145.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train146.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train147.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train148.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train149.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train15.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train150.csv,Side I,3,2,0.6666666666666666
Exp1_XGB_baseline,Train151.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train152.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train153.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train154.csv,Normal,3,3,1.0
