experiment,fold,macro_f1,normal_f1,side_I_f1,side_II_f1
Exp1_XGB_baseline,1,0.4795918367346939,0.9387755102040817,0.0,0.5
Exp1_XGB_baseline,2,0.7063573883161512,0.9690721649484536,0.4,0.75
Exp1_XGB_baseline,3,0.8514936600042983,0.9787234042553191,0.6666666666666666,0.9090909090909091
Exp1_XGB_baseline,4,0.6054421768707483,0.9591836734693877,0.0,0.8571428571428571
Exp1_XGB_baseline,5,0.7361111111111112,0.9583333333333334,0.5,0.75
Exp1_XGB_baseline,6,0.5038095238095238,0.94,0.0,0.5714285714285714
Exp1_XGB_baseline,7,0.8263888888888888,0.9791666666666666,0.5,1.0
Exp1_XGB_baseline,8,0.7638888888888888,0.9583333333333334,0.6666666666666666,0.6666666666666666
Exp1_XGB_baseline,9,0.5730240549828179,0.9690721649484536,0.0,0.75
Exp1_XGB_baseline,10,0.7892473118279569,0.967741935483871,0.4,1.0
Exp1_XGB_baseline,11,0.6366092536305302,0.9574468085106383,0.2857142857142857,0.6666666666666666
Exp1_XGB_baseline,12,0.6563573883161512,0.9690721649484536,0.0,1.0
Exp1_XGB_baseline,13,0.5930555555555556,0.9791666666666666,0.0,0.8
Exp1_XGB_baseline,14,0.6563573883161512,0.9690721649484536,0.0,1.0
Exp1_XGB_baseline,15,0.5661512027491409,0.9484536082474226,0.0,0.75
Exp2_XGB_sample_weighted,1,0.5824561403508772,0.9473684210526315,0.0,0.8
Exp2_XGB_sample_weighted,2,0.7632832080200501,0.968421052631579,0.5714285714285714,0.75
Exp2_XGB_sample_weighted,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091
Exp2_XGB_sample_weighted,4,0.6157407407407408,0.9583333333333334,0.0,0.8888888888888888
Exp2_XGB_sample_weighted,5,0.7225806451612904,0.967741935483871,0.4,0.8
Exp2_XGB_sample_weighted,6,0.7063573883161512,0.9690721649484536,0.4,0.75
Exp2_XGB_sample_weighted,7,0.8817966903073285,0.9787234042553191,0.6666666666666666,1.0
Exp2_XGB_sample_weighted,8,0.6747044917257683,0.9574468085106383,0.4,0.6666666666666666
Exp2_XGB_sample_weighted,9,0.8962962962962964,1.0,0.8,0.8888888888888888
Exp2_XGB_sample_weighted,10,0.7552042160737814,0.9565217391304348,0.4,0.9090909090909091
Exp2_XGB_sample_weighted,11,0.7114695340501792,0.967741935483871,0.5,0.6666666666666666
Exp2_XGB_sample_weighted,12,0.7894736842105262,0.968421052631579,0.4,1.0
Exp2_XGB_sample_weighted,13,0.6292714377820761,0.9787234042553191,0.0,0.9090909090909091
Exp2_XGB_sample_weighted,14,0.959378733572282,0.989247311827957,1.0,0.8888888888888888
Exp2_XGB_sample_weighted,15,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888
Exp3_XGB_enhanced_features,1,0.5824561403508772,0.9473684210526315,0.0,0.8
Exp3_XGB_enhanced_features,2,0.8655388471177945,0.9894736842105263,0.8571428571428571,0.75
Exp3_XGB_enhanced_features,3,0.9371980676328503,0.9782608695652174,1.0,0.8333333333333334
Exp3_XGB_enhanced_features,4,0.8263888888888888,0.9791666666666666,0.5,1.0
Exp3_XGB_enhanced_features,5,0.7558707643814028,0.9787234042553191,0.4,0.8888888888888888
Exp3_XGB_enhanced_features,6,0.7063573883161512,0.9690721649484536,0.4,0.75
Exp3_XGB_enhanced_features,7,0.8817966903073285,0.9787234042553191,0.6666666666666666,1.0
Exp3_XGB_enhanced_features,8,0.7225806451612904,0.967741935483871,0.4,0.8
Exp3_XGB_enhanced_features,9,0.8962962962962964,1.0,0.8,0.8888888888888888
Exp3_XGB_enhanced_features,10,0.7892473118279569,0.967741935483871,0.4,1.0
Exp3_XGB_enhanced_features,11,0.6892109500805152,0.9565217391304348,0.4444444444444444,0.6666666666666666
Exp3_XGB_enhanced_features,12,0.7894736842105262,0.968421052631579,0.4,1.0
Exp3_XGB_enhanced_features,13,0.6328548644338118,0.9894736842105263,0.0,0.9090909090909091
Exp3_XGB_enhanced_features,14,0.959378733572282,0.989247311827957,1.0,0.8888888888888888
Exp3_XGB_enhanced_features,15,0.826241134751773,0.9787234042553191,0.5,1.0
Exp4_XGB_bilateral_augmented,1,0.7490740740740741,0.9583333333333334,0.4,0.8888888888888888
Exp4_XGB_bilateral_augmented,2,0.7063573883161512,0.9690721649484536,0.4,0.75
Exp4_XGB_bilateral_augmented,3,0.9120879120879121,0.967032967032967,1.0,0.7692307692307693
Exp4_XGB_bilateral_augmented,4,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888
Exp4_XGB_bilateral_augmented,5,0.8820512820512821,0.989010989010989,0.8571428571428571,0.8
Exp4_XGB_bilateral_augmented,6,0.7859870179457809,0.9690721649484536,0.5,0.8888888888888888
Exp4_XGB_bilateral_augmented,7,0.8483430799220272,0.9894736842105263,0.6666666666666666,0.8888888888888888
Exp4_XGB_bilateral_augmented,8,0.786990786990787,0.967032967032967,0.6666666666666666,0.7272727272727273
Exp4_XGB_bilateral_augmented,9,0.8817966903073285,0.9787234042553191,0.6666666666666666,1.0
Exp4_XGB_bilateral_augmented,10,0.9146705146705146,0.9777777777777777,0.8571428571428571,0.9090909090909091
Exp4_XGB_bilateral_augmented,11,0.7831649831649831,0.9555555555555556,0.6666666666666666,0.7272727272727273
Exp4_XGB_bilateral_augmented,12,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888
