Datetime,Car Type,Car Number,Door Number,Motor current (mA),Motor Voltage (10mV),Motor back electromotive force,Door opening time (0.1 s),Door closing time (0.1 s),Close command,Open command,DCSR,DCSL,DLSR,DLSL,Door Opened,Door Locked,Door is opening,Door is closing,Door leaf position
2026-09-18-14-05-00-000,M,03,4R,1150.0,2400.0,120.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,850.0
2026-09-18-14-05-01-000,M,03,4R,1175.0,2400.0,120.0,0.0,0.1,1,0,0,0,0,0,0,0,0,1,780.0
2026-09-18-14-05-02-000,M,03,4R,1200.0,2400.0,120.0,0.0,0.2,1,0,0,0,0,0,0,0,0,1,710.0
2026-09-18-14-05-03-000,M,03,4R,1225.0,2400.0,120.0,0.0,0.3,1,0,0,0,0,0,0,0,0,1,640.0
2026-09-18-14-05-04-000,M,03,4R,1250.0,2400.0,120.0,0.0,0.4,1,0,0,0,0,0,0,0,0,1,570.0
2026-09-18-14-05-05-000,M,03,4R,1275.0,2400.0,120.0,0.0,0.5,1,0,0,0,0,0,0,0,0,1,500.0
2026-09-18-14-05-06-000,M,03,4R,1300.0,2400.0,120.0,0.0,0.6,1,0,0,0,0,0,0,0,0,1,430.0
2026-09-18-14-05-07-000,M,03,4R,1325.0,2400.0,120.0,0.0,0.7,1,0,0,0,0,0,0,0,0,1,360.0
2026-09-18-14-05-08-000,M,03,4R,2450.0,2400.0,120.0,0.0,0.8,1,0,0,0,0,0,0,0,0,1,290.0
2026-09-18-14-05-09-000,M,03,4R,2450.0,2400.0,120.0,0.0,0.9,1,0,0,0,0,0,0,0,0,1,220.0
2026-09-18-14-05-10-000,M,03,4R,2450.0,2400.0,120.0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,150.0
2026-09-18-14-05-11-000,M,03,4R,2450.0,2400.0,120.0,0.0,1.1,1,0,0,0,0,0,0,0,0,1,80.0
2026-09-18-14-05-12-000,M,03,4R,2450.0,2400.0,120.0,0.0,1.2,1,0,1,1,0,0,0,0,0,1,10.0
2026-09-18-14-05-13-000,M,03,4R,1475.0,2400.0,120.0,0.0,1.3,1,0,1,1,1,1,0,1,0,1,0.0
2026-09-18-14-05-14-000,M,03,4R,1500.0,2400.0,120.0,0.0,1.4,1,0,1,1,1,1,0,1,0,1,0.0
