rotational_speed,Car1_Pos1_vib,Car1_Pos2_vib,Car1_Pos3_vib,Car1_Pos4_vib,Car1_Pos5_vib,Car1_Pos6_vib,Car1_Pos7_vib,Car1_Pos8_vib,Car2_Pos1_vib,Car2_Pos2_vib,Car2_Pos3_vib,Car2_Pos4_vib,Car2_Pos5_vib,Car2_Pos6_vib,Car2_Pos7_vib,Car2_Pos8_vib,Car3_Pos1_vib,Car3_Pos2_vib,Car3_Pos3_vib,Car3_Pos4_vib,Car3_Pos5_vib,Car3_Pos6_vib,Car3_Pos7_vib,Car3_Pos8_vib,Car4_Pos1_vib,Car4_Pos2_vib,Car4_Pos3_vib,Car4_Pos4_vib,Car4_Pos5_vib,Car4_Pos6_vib,Car4_Pos7_vib,Car4_Pos8_vib,Car5_Pos1_vib,Car5_Pos2_vib,Car5_Pos3_vib,Car5_Pos4_vib,Car5_Pos5_vib,Car5_Pos6_vib,Car5_Pos7_vib,Car5_Pos8_vib,Car6_Pos1_vib,Car6_Pos2_vib,Car6_Pos3_vib,Car6_Pos4_vib,Car6_Pos5_vib,Car6_Pos6_vib,Car6_Pos7_vib,Car6_Pos8_vib,Car7_Pos1_vib,Car7_Pos2_vib,Car7_Pos3_vib,Car7_Pos4_vib,Car7_Pos5_vib,Car7_Pos6_vib,Car7_Pos7_vib,Car7_Pos8_vib,Car8_Pos1_vib,Car8_Pos2_vib,Car8_Pos3_vib,Car8_Pos4_vib,Car8_Pos5_vib,Car8_Pos6_vib,Car8_Pos7_vib,Car8_Pos8_vib,Car1_Pos1_shock,Car1_Pos2_shock,Car1_Pos3_shock,Car1_Pos4_shock,Car1_Pos5_shock,Car1_Pos6_shock,Car1_Pos7_shock,Car1_Pos8_shock,Car2_Pos1_shock,Car2_Pos2_shock,Car2_Pos3_shock,Car2_Pos4_shock,Car2_Pos5_shock,Car2_Pos6_shock,Car2_Pos7_shock,Car2_Pos8_shock,Car3_Pos1_shock,Car3_Pos2_shock,Car3_Pos3_shock,Car3_Pos4_shock,Car3_Pos5_shock,Car3_Pos6_shock,Car3_Pos7_shock,Car3_Pos8_shock,Car4_Pos1_shock,Car4_Pos2_shock,Car4_Pos3_shock,Car4_Pos4_shock,Car4_Pos5_shock,Car4_Pos6_shock,Car4_Pos7_shock,Car4_Pos8_shock,Car5_Pos1_shock,Car5_Pos2_shock,Car5_Pos3_shock,Car5_Pos4_shock,Car5_Pos5_shock,Car5_Pos6_shock,Car5_Pos7_shock,Car5_Pos8_shock,Car6_Pos1_shock,Car6_Pos2_shock,Car6_Pos3_shock,Car6_Pos4_shock,Car6_Pos5_shock,Car6_Pos6_shock,Car6_Pos7_shock,Car6_Pos8_shock,Car7_Pos1_shock,Car7_Pos2_shock,Car7_Pos3_shock,Car7_Pos4_shock,Car7_Pos5_shock,Car7_Pos6_shock,Car7_Pos7_shock,Car7_Pos8_shock,Car8_Pos1_shock,Car8_Pos2_shock,Car8_Pos3_shock,Car8_Pos4_shock,Car8_Pos5_shock,Car8_Pos6_shock,Car8_Pos7_shock,Car8_Pos8_shock
1,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,1.85,0.42,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
