timestamp,stress_bogie_weld_1_mpa,stress_bogie_weld_2_mpa,stress_carbody_bolster_mpa
2026-09-18T14:10:00,45.20,38.10,52.40
2026-09-18T14:10:01,49.50,41.20,58.20
2026-09-18T14:10:02,53.80,44.30,64.00
2026-09-18T14:10:03,58.10,47.40,69.80
2026-09-18T14:10:04,62.40,50.50,75.60
2026-09-18T14:10:05,66.70,38.10,81.40
2026-09-18T14:10:06,71.00,41.20,87.20
2026-09-18T14:10:07,45.20,44.30,93.00
2026-09-18T14:10:08,49.50,47.40,98.80
2026-09-18T14:10:09,53.80,50.50,52.40
2026-09-18T14:10:10,58.10,38.10,58.20
2026-09-18T14:10:11,62.40,41.20,64.00
2026-09-18T14:10:12,66.70,44.30,69.80
2026-09-18T14:10:13,71.00,47.40,75.60
2026-09-18T14:10:14,45.20,50.50,81.40
2026-09-18T14:10:15,49.50,38.10,87.20
2026-09-18T14:10:16,53.80,41.20,93.00
2026-09-18T14:10:17,58.10,44.30,98.80
2026-09-18T14:10:18,62.40,47.40,52.40
2026-09-18T14:10:19,66.70,50.50,58.20
2026-09-18T14:10:20,71.00,38.10,64.00
2026-09-18T14:10:21,45.20,41.20,69.80
2026-09-18T14:10:22,49.50,44.30,75.60
2026-09-18T14:10:23,53.80,47.40,81.40
2026-09-18T14:10:24,58.10,50.50,87.20
